,usia,gender,gaji,anak
74,51,P,3-5jt,5
75,37,P,5-10jt,5
76,48,L,5-10jt,3
77,26,L,3-5jt,3
78,23,P,1-3jt,6
79,24,P,1-3jt,6
80,38,L,3-5jt,5
81,37,P,3-5jt,5
82,42,L,5-10jt,3
83,50,P,1-3jt,2
84,36,L,3-5jt,5
85,18,L,1-3jt,5
86,53,L,3-5jt,1
87,60,L,1-3jt,5
88,43,L,1-3jt,6
89,58,L,1-3jt,4
90,39,P,5-10jt,6
91,57,P,3-5jt,6
92,23,L,5-10jt,4
93,18,L,1-3jt,5
94,53,L,3-5jt,2
95,47,L,1-3jt,0
96,50,P,1-3jt,5
97,59,P,5-10jt,6
98,37,L,3-5jt,6
99,47,L,3-5jt,5
100,49,P,5-10jt,1
101,17,P,5-10jt,5
102,47,L,3-5jt,6
103,34,L,1-3jt,0
104,32,P,5-10jt,6
105,23,L,3-5jt,6
106,43,L,1-3jt,5
107,44,L,1-3jt,6
108,43,P,3-5jt,3
109,30,L,1-3jt,2
110,46,L,3-5jt,2
111,55,P,3-5jt,5
112,21,P,5-10jt,5
113,29,P,5-10jt,5
114,21,L,3-5jt,4
115,56,P,1-3jt,6
116,28,P,1-3jt,0
117,58,P,5-10jt,2
118,20,L,3-5jt,1
119,41,L,1-3jt,6
120,57,P,5-10jt,4
121,47,L,3-5jt,6
122,41,P,1-3jt,6
123,55,L,1-3jt,4
124,17,P,1-3jt,6
125,48,P,1-3jt,4
126,51,L,3-5jt,4
127,28,P,5-10jt,0
128,50,P,3-5jt,6
129,41,L,3-5jt,6
130,58,L,5-10jt,6
131,41,L,5-10jt,2
132,23,L,5-10jt,2
133,52,L,3-5jt,1
134,25,P,3-5jt,3
135,33,L,1-3jt,3
136,39,L,5-10jt,5
137,18,L,3-5jt,4
138,45,L,3-5jt,5
139,36,P,3-5jt,4
140,24,P,1-3jt,0
141,39,L,1-3jt,2
142,47,P,3-5jt,1
143,38,L,3-5jt,1
144,26,L,3-5jt,3
145,49,P,5-10jt,4
146,40,L,5-10jt,5
147,49,P,3-5jt,1
148,37,P,1-3jt,0
149,59,L,5-10jt,0
150,36,P,1-3jt,3
151,58,P,5-10jt,5
152,45,P,3-5jt,4
153,48,L,1-3jt,2
154,52,L,5-10jt,0
155,31,P,5-10jt,6
156,58,P,5-10jt,2
157,58,P,1-3jt,5
158,59,L,3-5jt,4
159,25,L,3-5jt,6
160,55,P,5-10jt,2
161,30,L,3-5jt,6
162,21,L,5-10jt,1
163,57,P,5-10jt,3
164,33,L,5-10jt,2
165,28,P,3-5jt,2
166,60,P,3-5jt,4
167,53,P,5-10jt,5
168,21,L,3-5jt,4
169,60,L,1-3jt,5
170,38,L,5-10jt,0
171,17,L,3-5jt,1
172,37,P,3-5jt,5
173,42,L,3-5jt,1
174,18,P,1-3jt,4
175,33,L,3-5jt,2
176,33,P,5-10jt,6
177,28,L,1-3jt,2
178,54,L,5-10jt,6
179,53,L,3-5jt,5
180,49,P,5-10jt,1
181,25,P,5-10jt,1
182,19,P,1-3jt,3
183,22,P,5-10jt,3
184,20,L,5-10jt,5
185,35,P,1-3jt,6
186,17,L,3-5jt,2
187,25,L,1-3jt,3
188,54,P,3-5jt,4
189,54,P,3-5jt,6
190,54,L,1-3jt,4
191,44,L,3-5jt,0
192,36,L,5-10jt,4
193,45,L,1-3jt,4
194,56,L,5-10jt,6
195,32,L,1-3jt,4
196,40,L,1-3jt,3
197,51,P,3-5jt,0
198,49,L,1-3jt,4
199,60,L,5-10jt,5
200,57,P,1-3jt,0
201,48,P,1-3jt,1
202,40,P,1-3jt,5
203,60,L,1-3jt,1
204,57,P,5-10jt,2
205,47,L,5-10jt,5
206,58,P,5-10jt,3
207,30,L,1-3jt,0
208,25,L,1-3jt,3
209,35,L,5-10jt,5
210,30,L,5-10jt,1
211,47,P,1-3jt,1
212,49,L,5-10jt,5
213,38,P,1-3jt,0
214,29,L,1-3jt,1
215,48,P,5-10jt,6
216,32,P,1-3jt,3
217,17,L,1-3jt,2
218,21,L,3-5jt,3
219,55,L,1-3jt,5
220,49,L,5-10jt,4
221,25,P,1-3jt,0
222,43,P,3-5jt,1
223,51,L,5-10jt,5
224,49,P,3-5jt,2
225,41,P,5-10jt,6
226,31,L,5-10jt,6
227,35,P,1-3jt,3
228,57,L,5-10jt,4
229,55,P,5-10jt,4
230,40,P,3-5jt,6
231,33,P,3-5jt,5
232,44,P,5-10jt,0
233,50,L,3-5jt,4
234,23,L,5-10jt,2
235,55,L,3-5jt,4
236,29,P,5-10jt,2
237,38,L,3-5jt,5
238,57,P,5-10jt,1
239,58,P,5-10jt,4
240,50,P,5-10jt,4
241,58,P,5-10jt,1
242,41,L,3-5jt,3
243,59,P,3-5jt,3
244,31,P,1-3jt,1
245,25,P,1-3jt,2
246,57,L,3-5jt,1
247,20,L,5-10jt,2
248,46,L,5-10jt,2
249,41,L,5-10jt,2
250,50,P,3-5jt,4
251,20,L,1-3jt,1
252,45,P,1-3jt,6
253,53,P,1-3jt,5
254,25,P,5-10jt,1
255,41,L,5-10jt,3
256,58,L,3-5jt,3
257,35,P,1-3jt,6
258,25,P,5-10jt,5
259,21,L,1-3jt,0
260,34,L,5-10jt,1
261,29,P,5-10jt,5
262,55,L,1-3jt,6
263,25,P,1-3jt,6
264,26,L,1-3jt,0
265,30,P,1-3jt,6
266,57,L,3-5jt,6
267,17,P,3-5jt,1
268,29,P,5-10jt,5
269,26,L,3-5jt,0
270,17,L,5-10jt,1
271,54,L,3-5jt,0
272,60,P,3-5jt,0
273,20,P,5-10jt,4
274,50,L,5-10jt,0
275,58,L,5-10jt,3
276,43,P,3-5jt,5
277,58,P,1-3jt,0
278,28,P,3-5jt,2
279,28,L,3-5jt,2
280,46,P,5-10jt,6
281,56,L,3-5jt,5
282,40,P,5-10jt,4
283,47,P,3-5jt,4
284,47,P,5-10jt,2
285,52,P,5-10jt,4
286,53,P,3-5jt,4
287,19,P,3-5jt,1
288,24,P,5-10jt,6
289,18,P,3-5jt,4
290,41,P,5-10jt,4
291,32,L,5-10jt,5
292,48,L,5-10jt,2
293,56,P,1-3jt,2
294,37,P,3-5jt,6
295,51,P,5-10jt,1
296,58,P,1-3jt,5
297,17,L,1-3jt,0
298,58,P,5-10jt,6
299,28,P,5-10jt,0
300,57,P,3-5jt,0
301,44,L,3-5jt,1
302,19,L,1-3jt,1
303,54,P,5-10jt,5
304,48,L,1-3jt,4
305,35,L,1-3jt,6
306,34,P,3-5jt,6
307,40,P,3-5jt,1
308,37,L,3-5jt,4
309,53,P,3-5jt,3
310,30,L,1-3jt,2
311,47,L,3-5jt,5
312,21,P,1-3jt,5
313,52,L,5-10jt,4
314,25,L,3-5jt,6
315,37,P,3-5jt,5
316,19,P,1-3jt,1
317,51,P,3-5jt,0
318,59,P,1-3jt,5
319,40,P,1-3jt,6
320,22,L,1-3jt,0
321,32,L,1-3jt,0
322,29,L,1-3jt,0
323,26,P,3-5jt,5
324,49,P,5-10jt,1
325,57,L,5-10jt,4
326,43,L,5-10jt,0
327,35,P,5-10jt,6
328,38,L,3-5jt,6
329,49,L,3-5jt,2
330,52,L,1-3jt,5
331,29,P,3-5jt,6
332,22,P,5-10jt,1
333,39,P,5-10jt,2
334,31,L,5-10jt,2
335,59,P,1-3jt,6
336,43,L,3-5jt,5
337,48,L,5-10jt,5
338,21,L,3-5jt,4
339,41,P,3-5jt,3
340,25,P,3-5jt,2
341,46,L,1-3jt,5
342,46,P,1-3jt,5
343,30,P,5-10jt,6
344,33,L,3-5jt,3
345,42,P,1-3jt,2
346,55,L,5-10jt,3
347,38,L,5-10jt,5
348,39,L,5-10jt,5
349,41,L,3-5jt,4
350,34,P,1-3jt,1
351,33,P,1-3jt,6
352,51,P,1-3jt,0
353,21,P,3-5jt,2
354,55,P,5-10jt,5
355,56,P,3-5jt,2
356,21,L,1-3jt,4
357,32,P,1-3jt,5
358,35,L,1-3jt,6
359,34,L,1-3jt,2
360,59,L,5-10jt,0
361,47,L,5-10jt,1
362,40,L,3-5jt,1
363,26,P,3-5jt,1
364,45,P,5-10jt,2
365,35,P,5-10jt,1
366,57,L,5-10jt,4
367,17,L,5-10jt,4
368,26,P,3-5jt,6
369,53,P,1-3jt,6
370,50,L,1-3jt,3
371,33,L,3-5jt,3
372,22,L,1-3jt,6
373,60,P,1-3jt,4
374,26,L,5-10jt,5
375,34,L,5-10jt,1
376,52,P,1-3jt,3
377,42,P,3-5jt,5
378,55,P,1-3jt,0
379,57,L,1-3jt,0
380,32,P,3-5jt,4
381,21,P,1-3jt,1
382,33,P,1-3jt,0
383,52,L,3-5jt,4
384,28,P,3-5jt,1
385,41,L,3-5jt,4
386,40,P,5-10jt,4
387,33,P,1-3jt,0
388,39,P,3-5jt,1
389,50,P,1-3jt,4
390,47,L,5-10jt,0
391,27,L,3-5jt,1
392,18,L,3-5jt,0
393,31,L,1-3jt,0
394,33,L,3-5jt,4
395,53,L,3-5jt,0
396,29,L,3-5jt,3
397,50,L,1-3jt,2
398,49,L,5-10jt,5
399,29,L,1-3jt,1
400,39,P,1-3jt,5
401,19,L,3-5jt,5
402,20,L,3-5jt,1
403,37,L,3-5jt,0
404,28,P,3-5jt,4
405,60,L,3-5jt,4
406,59,L,5-10jt,1
407,45,L,1-3jt,1
408,49,P,3-5jt,6
409,20,L,1-3jt,5
410,53,P,1-3jt,4
411,30,P,3-5jt,1
412,48,L,3-5jt,3
413,51,L,1-3jt,5
414,39,L,5-10jt,6
415,25,L,5-10jt,0
416,48,L,5-10jt,2
417,39,L,1-3jt,6
418,19,P,3-5jt,4
419,24,P,3-5jt,2
420,17,L,3-5jt,6
421,36,L,1-3jt,6
422,51,P,3-5jt,0
423,29,L,3-5jt,1
424,26,P,1-3jt,2
425,42,P,5-10jt,0
426,25,P,5-10jt,4
427,34,L,1-3jt,0
428,20,L,3-5jt,4
429,20,P,1-3jt,6
430,34,P,3-5jt,6
431,48,L,3-5jt,0
432,33,L,1-3jt,5
433,58,P,1-3jt,4
434,56,P,5-10jt,5
435,24,L,3-5jt,0
436,18,P,1-3jt,6
437,49,P,1-3jt,5
438,22,L,1-3jt,4
439,19,P,5-10jt,5
440,21,P,5-10jt,4
441,42,L,5-10jt,4
442,32,L,3-5jt,1
443,46,L,1-3jt,6
444,40,L,1-3jt,1
445,33,L,3-5jt,6
446,36,L,3-5jt,4
447,49,P,5-10jt,5
448,36,P,3-5jt,1
449,32,P,5-10jt,3
450,28,L,1-3jt,6
451,59,P,5-10jt,3
452,26,L,3-5jt,0
453,35,P,5-10jt,2
454,26,P,3-5jt,6
455,28,P,1-3jt,3
456,20,L,3-5jt,4
457,46,P,5-10jt,3
458,54,L,3-5jt,3
459,25,P,1-3jt,2
460,33,L,3-5jt,6
461,25,P,5-10jt,6
462,24,L,5-10jt,2
463,43,L,3-5jt,1
464,17,L,5-10jt,1
465,35,P,3-5jt,1
466,35,P,5-10jt,6
467,32,L,3-5jt,3
468,37,L,3-5jt,4
469,19,L,5-10jt,1
470,41,L,5-10jt,3
471,36,P,1-3jt,0
472,28,L,5-10jt,4
473,49,L,1-3jt,1
474,51,P,3-5jt,0
475,30,P,5-10jt,2
476,55,L,1-3jt,6
477,28,P,5-10jt,3
478,48,P,1-3jt,0
479,27,P,5-10jt,0
480,49,P,5-10jt,3
481,37,L,1-3jt,2
482,51,P,5-10jt,0
483,55,L,1-3jt,1
484,46,P,5-10jt,0
485,38,P,5-10jt,0
486,19,P,5-10jt,4
487,57,L,1-3jt,3
488,25,P,5-10jt,3
489,36,L,3-5jt,0
490,52,L,3-5jt,4
491,38,L,1-3jt,4
492,37,P,1-3jt,3
493,55,P,3-5jt,0
494,24,P,5-10jt,3
495,39,L,3-5jt,1
496,56,L,5-10jt,2
497,35,L,5-10jt,0
498,55,L,1-3jt,6
499,23,L,3-5jt,1
500,51,L,3-5jt,5
501,29,P,1-3jt,1
502,19,L,3-5jt,5
503,27,P,3-5jt,5
504,47,L,3-5jt,0
505,57,L,3-5jt,5
506,49,L,5-10jt,5
507,25,L,1-3jt,4
508,54,P,5-10jt,3
509,29,P,5-10jt,2
510,30,P,5-10jt,0
511,19,L,3-5jt,1
512,21,P,1-3jt,5
513,24,P,3-5jt,0
514,36,P,3-5jt,5
515,45,L,3-5jt,6
516,17,L,3-5jt,3
517,19,P,3-5jt,6
518,59,P,3-5jt,0
519,34,L,5-10jt,6
520,18,P,3-5jt,4
521,49,P,1-3jt,1
522,35,P,3-5jt,5
523,29,P,3-5jt,5
524,20,L,3-5jt,4
525,53,P,1-3jt,1
526,24,L,1-3jt,4
527,56,L,1-3jt,6
528,24,L,5-10jt,1
529,52,L,1-3jt,6
530,24,L,3-5jt,6
531,47,L,5-10jt,3
532,17,L,1-3jt,2
533,47,L,5-10jt,6
534,30,L,5-10jt,5
535,29,P,5-10jt,0
536,41,L,5-10jt,6
537,20,P,1-3jt,0
538,31,P,3-5jt,2
539,23,L,1-3jt,2
540,31,L,3-5jt,5
541,49,L,5-10jt,3
542,57,P,1-3jt,2
543,41,L,3-5jt,3
544,23,P,3-5jt,1
545,54,L,5-10jt,5
546,37,L,5-10jt,6
547,46,L,5-10jt,5
548,20,L,5-10jt,2
549,50,P,3-5jt,2
550,26,P,3-5jt,5
551,52,L,5-10jt,4
552,56,P,5-10jt,5
553,43,P,3-5jt,3
554,45,L,3-5jt,4
555,30,P,5-10jt,6
556,18,P,1-3jt,2
557,29,L,3-5jt,1
558,25,P,1-3jt,0
559,41,P,3-5jt,2
560,35,L,5-10jt,6
561,58,P,3-5jt,5
562,23,L,1-3jt,5
563,39,L,3-5jt,0
564,38,L,5-10jt,0
565,18,P,3-5jt,2
566,42,P,1-3jt,3
567,28,P,1-3jt,1
568,25,L,1-3jt,3
569,56,L,3-5jt,0
570,41,L,3-5jt,2
571,43,P,5-10jt,1
572,45,L,1-3jt,0
573,54,L,3-5jt,5
574,20,L,5-10jt,1
575,38,P,1-3jt,3
576,46,P,5-10jt,5
577,25,L,1-3jt,6
578,23,L,3-5jt,2
579,51,L,3-5jt,2
580,35,L,3-5jt,4
581,56,L,1-3jt,3
582,56,P,1-3jt,0
583,38,P,3-5jt,2
584,27,P,1-3jt,5
585,29,P,5-10jt,2
586,52,P,1-3jt,6
587,57,P,1-3jt,6
588,18,L,1-3jt,3
589,41,P,5-10jt,4
590,46,P,5-10jt,0
591,53,L,3-5jt,1
592,26,L,3-5jt,4
593,32,P,5-10jt,5
594,49,L,3-5jt,2
595,41,P,1-3jt,3
596,42,L,3-5jt,3
597,47,L,3-5jt,4
598,33,P,3-5jt,5
599,43,P,3-5jt,1
600,59,L,3-5jt,3
601,24,P,1-3jt,0
602,26,P,3-5jt,4
603,18,L,1-3jt,6
604,42,L,5-10jt,1
605,22,P,3-5jt,4
606,22,P,1-3jt,1
607,59,P,3-5jt,6
608,60,P,5-10jt,2
609,28,L,3-5jt,0
610,18,P,1-3jt,0
611,43,P,1-3jt,2
612,30,L,3-5jt,6
613,50,P,5-10jt,6
614,38,P,5-10jt,1
615,59,L,5-10jt,6
616,49,P,1-3jt,3
617,38,L,1-3jt,5
618,25,P,5-10jt,0
619,50,L,5-10jt,1
620,52,L,1-3jt,0
621,28,P,5-10jt,5
622,41,L,3-5jt,6
623,25,L,5-10jt,6
624,59,L,5-10jt,1
625,51,L,3-5jt,3
626,29,P,5-10jt,6
627,44,L,5-10jt,0
628,25,P,1-3jt,4
629,42,P,5-10jt,6
630,19,L,1-3jt,0
631,33,L,1-3jt,2
632,44,L,1-3jt,6
633,35,P,3-5jt,0
634,17,L,1-3jt,6
635,35,P,5-10jt,5
636,54,P,5-10jt,2
637,48,L,3-5jt,5
638,59,L,5-10jt,5
639,54,P,5-10jt,1
640,43,L,5-10jt,0
641,55,P,1-3jt,4
642,45,P,1-3jt,3
643,35,L,3-5jt,2
644,30,L,3-5jt,6
645,43,P,3-5jt,4
646,51,L,1-3jt,4
647,49,P,1-3jt,2
648,54,L,1-3jt,3
649,58,P,3-5jt,4
650,35,L,3-5jt,6
651,49,L,3-5jt,6
652,51,P,3-5jt,6
653,39,L,3-5jt,4
654,47,P,1-3jt,5
655,18,P,3-5jt,5
656,39,L,3-5jt,1
657,55,P,5-10jt,1
658,39,L,1-3jt,2
659,53,P,3-5jt,0
660,33,L,3-5jt,4
661,41,L,1-3jt,0
662,42,P,1-3jt,4
663,48,L,3-5jt,0
664,24,L,3-5jt,3
665,30,L,1-3jt,5
666,54,P,3-5jt,5
667,44,P,3-5jt,4
668,58,P,3-5jt,5
669,54,P,1-3jt,4
670,60,L,5-10jt,3
671,39,P,1-3jt,4
672,28,L,1-3jt,0
673,46,P,5-10jt,2
674,52,L,5-10jt,2
675,44,P,3-5jt,6
676,38,P,5-10jt,5
677,55,L,5-10jt,3
678,55,P,1-3jt,6
679,38,L,3-5jt,2
680,21,P,1-3jt,1
681,27,L,3-5jt,0
682,48,P,3-5jt,0
683,45,L,5-10jt,1
684,59,P,1-3jt,6
685,60,L,1-3jt,5
686,45,P,1-3jt,3
687,56,L,1-3jt,6
688,31,L,3-5jt,6
689,32,L,5-10jt,6
690,59,P,3-5jt,1
691,18,L,1-3jt,3
692,29,L,5-10jt,5
693,35,P,5-10jt,1
694,39,L,1-3jt,4
695,52,P,5-10jt,4
696,23,P,1-3jt,2
697,42,L,3-5jt,5
698,54,L,1-3jt,0
699,52,P,3-5jt,1
700,19,L,3-5jt,5
701,25,L,5-10jt,3
702,20,P,5-10jt,4
703,46,L,3-5jt,5
704,25,L,3-5jt,1
705,24,P,1-3jt,5
706,57,P,5-10jt,2
707,50,P,3-5jt,5
708,48,P,3-5jt,0
709,54,P,1-3jt,6
710,32,L,3-5jt,2
711,60,P,5-10jt,0
712,60,P,3-5jt,2
713,32,L,5-10jt,4
714,27,L,1-3jt,4
715,55,P,3-5jt,0
716,49,L,5-10jt,1
717,18,L,5-10jt,1
718,54,L,1-3jt,0
719,30,P,1-3jt,0
720,24,L,1-3jt,2
721,32,L,3-5jt,2
722,54,L,5-10jt,5
723,19,L,1-3jt,2
724,57,L,3-5jt,5
725,44,L,5-10jt,1
726,53,L,5-10jt,2
727,25,P,5-10jt,2
728,48,P,5-10jt,1
729,20,L,3-5jt,6
730,52,P,1-3jt,2
731,38,P,3-5jt,3
732,29,L,3-5jt,1
733,43,L,1-3jt,3
734,30,L,5-10jt,1
735,47,L,5-10jt,5
736,28,L,5-10jt,6
737,25,L,5-10jt,2
738,42,L,5-10jt,5
739,26,P,5-10jt,0
740,43,P,5-10jt,3
741,17,L,1-3jt,3
742,46,L,1-3jt,0
743,39,P,3-5jt,1
744,39,P,3-5jt,3
745,49,P,1-3jt,5
746,40,L,5-10jt,3
747,36,P,1-3jt,6
748,40,P,5-10jt,0
749,31,P,1-3jt,6
750,21,P,1-3jt,3
751,36,P,3-5jt,6
752,27,P,5-10jt,0
753,43,P,3-5jt,4
754,32,P,3-5jt,0
755,29,P,5-10jt,6
756,27,L,5-10jt,1
757,53,P,3-5jt,5
758,28,L,5-10jt,2
759,51,P,3-5jt,6
760,24,P,3-5jt,5
761,18,L,1-3jt,3
762,45,P,3-5jt,2
763,19,P,5-10jt,1
764,22,P,1-3jt,6
765,59,L,5-10jt,3
766,39,P,5-10jt,0
767,23,P,5-10jt,2
768,34,P,5-10jt,3
769,53,L,1-3jt,5
770,21,L,1-3jt,4
771,50,P,5-10jt,2
772,32,P,5-10jt,6
773,34,P,1-3jt,1
774,50,P,5-10jt,2
775,58,P,3-5jt,4
776,23,L,1-3jt,1
777,31,P,3-5jt,5
778,34,L,1-3jt,2
779,51,L,5-10jt,6
780,55,L,1-3jt,6
781,52,L,3-5jt,3
782,38,P,5-10jt,3
783,45,L,3-5jt,2
784,46,L,1-3jt,3
785,59,L,1-3jt,3
786,58,P,3-5jt,3
787,38,L,5-10jt,5
788,56,L,1-3jt,3
789,28,P,3-5jt,6
790,21,L,3-5jt,0
791,39,L,5-10jt,5
792,18,P,3-5jt,6
793,46,P,5-10jt,2
794,23,L,5-10jt,2
795,45,P,5-10jt,6
796,44,P,5-10jt,3
797,36,L,1-3jt,1
798,56,L,1-3jt,4
799,40,P,5-10jt,2
800,41,P,3-5jt,3
801,60,L,5-10jt,4
802,34,P,3-5jt,4
803,59,P,3-5jt,2
804,59,L,3-5jt,5
805,58,L,3-5jt,4
806,46,L,1-3jt,5
807,24,L,5-10jt,4
808,60,L,3-5jt,3
809,53,L,1-3jt,3
810,57,L,3-5jt,0
811,20,P,1-3jt,3
812,40,P,5-10jt,2
813,57,P,1-3jt,3
814,27,P,5-10jt,2
815,46,P,5-10jt,2
816,17,L,1-3jt,3
817,60,L,3-5jt,2
818,59,L,3-5jt,2
819,42,P,1-3jt,2
820,51,L,3-5jt,2
821,25,P,3-5jt,5
822,51,L,3-5jt,1
823,55,L,3-5jt,6
824,33,L,3-5jt,2
825,25,L,3-5jt,4
826,43,P,5-10jt,0
827,43,L,5-10jt,1
828,28,P,5-10jt,6
829,43,P,5-10jt,3
830,58,L,1-3jt,3
831,47,L,1-3jt,4
832,54,L,1-3jt,2
833,27,P,5-10jt,4
834,51,L,1-3jt,4
835,57,L,5-10jt,5
836,39,L,1-3jt,4
837,33,L,1-3jt,1
838,23,L,5-10jt,2
839,28,P,5-10jt,0
840,39,L,5-10jt,1
841,55,P,5-10jt,0
842,25,P,3-5jt,2
843,28,P,5-10jt,1
844,40,P,3-5jt,5
845,38,L,3-5jt,3
846,47,L,1-3jt,5
847,28,P,3-5jt,5
848,54,L,3-5jt,2
849,49,P,5-10jt,6
850,33,P,5-10jt,3
851,36,L,3-5jt,4
852,51,P,3-5jt,5
853,48,L,1-3jt,1
854,17,L,1-3jt,3
855,19,L,1-3jt,0
856,32,L,1-3jt,1
857,49,P,5-10jt,0
858,42,L,3-5jt,2
859,22,P,1-3jt,1
860,31,P,1-3jt,3
861,60,L,3-5jt,2
862,20,P,5-10jt,0
863,44,L,1-3jt,3
864,56,L,3-5jt,5
865,33,L,5-10jt,5
866,29,L,3-5jt,1
867,51,L,5-10jt,2
868,40,L,5-10jt,6
869,22,L,3-5jt,0
870,22,L,5-10jt,0
871,18,P,5-10jt,3
872,32,P,1-3jt,0
873,29,L,5-10jt,0
874,56,L,5-10jt,3
875,40,L,3-5jt,1
876,33,L,1-3jt,2
877,35,P,5-10jt,4
878,41,L,3-5jt,6
879,27,L,3-5jt,5
880,17,P,5-10jt,1
881,60,L,5-10jt,1
882,34,P,5-10jt,1
883,55,P,3-5jt,3
884,49,L,3-5jt,1
885,39,L,1-3jt,1
886,18,P,3-5jt,0
887,46,L,3-5jt,3
888,42,P,3-5jt,4
889,26,L,1-3jt,2
890,36,P,1-3jt,4
891,36,P,1-3jt,4
892,33,P,3-5jt,0
893,44,P,3-5jt,4
894,44,L,5-10jt,3
895,36,L,3-5jt,3
896,50,L,3-5jt,2
897,54,L,5-10jt,0
898,24,L,3-5jt,2
899,46,L,3-5jt,1
900,27,P,1-3jt,6
901,25,L,1-3jt,4
902,45,L,3-5jt,5
903,39,P,5-10jt,4
904,21,L,1-3jt,2
905,35,L,1-3jt,0
906,44,L,5-10jt,4
907,19,P,1-3jt,2
908,24,L,1-3jt,5
909,40,L,1-3jt,4
910,37,L,5-10jt,6
911,43,L,3-5jt,5
912,36,P,5-10jt,0
913,43,P,5-10jt,4
914,48,P,5-10jt,0
915,52,L,5-10jt,6
916,32,P,3-5jt,1
917,36,P,1-3jt,3
918,21,L,3-5jt,1
919,50,P,1-3jt,6
920,41,L,1-3jt,4
921,20,P,1-3jt,5
922,52,P,3-5jt,3
923,34,L,3-5jt,1
924,19,P,5-10jt,5
925,52,P,1-3jt,2
926,54,L,3-5jt,6
927,36,P,3-5jt,1
928,46,P,3-5jt,1
929,17,P,5-10jt,5
930,20,L,5-10jt,1
931,22,L,3-5jt,1
932,40,P,5-10jt,6
933,24,L,1-3jt,2
934,18,P,3-5jt,1
935,31,L,3-5jt,5
936,52,L,1-3jt,2
937,35,L,5-10jt,4
938,49,L,5-10jt,6
939,58,L,1-3jt,0
940,20,L,5-10jt,0
941,55,L,3-5jt,0
942,45,P,5-10jt,3
943,34,L,3-5jt,0
944,57,P,1-3jt,6
945,37,L,5-10jt,2
946,47,P,1-3jt,2
947,39,L,5-10jt,4
948,20,P,5-10jt,4
949,47,L,5-10jt,0
950,33,P,3-5jt,4
951,35,L,5-10jt,0
952,59,L,1-3jt,5
953,58,L,3-5jt,4
954,40,P,3-5jt,0
955,23,P,3-5jt,1
956,31,L,3-5jt,5
957,37,P,5-10jt,3
958,58,L,5-10jt,2
959,33,P,1-3jt,5
960,25,P,5-10jt,4
961,40,L,5-10jt,4
962,37,L,1-3jt,2
963,25,P,3-5jt,1
964,34,P,3-5jt,4
965,35,L,3-5jt,5
966,48,P,1-3jt,5
967,41,P,1-3jt,6
968,48,P,5-10jt,3
969,45,L,3-5jt,0
970,24,P,3-5jt,5
971,34,P,3-5jt,3
972,32,P,1-3jt,6
973,48,P,5-10jt,1
974,49,L,3-5jt,3
975,50,L,1-3jt,5
976,52,P,3-5jt,3
977,32,L,1-3jt,5
978,31,P,5-10jt,3
979,18,P,1-3jt,5
980,29,L,3-5jt,6
981,29,P,5-10jt,1
982,31,L,1-3jt,3
983,18,L,5-10jt,6
984,58,L,5-10jt,0
985,18,L,3-5jt,3
986,42,P,5-10jt,4
987,37,L,3-5jt,0
988,17,P,5-10jt,6
989,17,P,5-10jt,0
990,22,P,5-10jt,5
991,53,P,3-5jt,6
992,54,L,3-5jt,6
993,29,P,3-5jt,0
994,19,L,5-10jt,0
995,30,L,1-3jt,3
996,53,L,5-10jt,5
997,33,P,3-5jt,4
